,freight_value,price,payment_value,payment_installments,payment_sequential
99369,14.1,17.99,32.09,1,1
4050,14.1,15.6,29.7,1,1
93370,14.1,19.9,34.0,1,1
72268,15.3,59.89,75.19,1,1
59857,13.74,199.0,425.46,5,1
108890,35.91,248.99,284.9,1,1
38556,11.85,12.9,23.06,1,2
106309,14.1,49.0,63.1,1,1
52150,23.49,166.99,190.48,7,1
33419,12.25,149.9,162.15,1,1
37041,12.14,149.9,324.08,1,1
12804,16.91,165.0,181.91,10,1
109007,22.11,115.99,138.1,4,1
22006,21.42,242.0,526.84,3,1
304,18.73,144.99,163.72,8,1
56054,18.26,98.9,117.16,10,1
110373,50.93,30.0,162.87,5,1
96734,63.99,120.0,735.96,1,1
105598,11.85,19.9,31.75,1,1
6235,18.39,115.0,133.39,1,1
23121,28.54,599.0,627.54,3,1
20801,21.26,109.9,131.16,10,1
9286,15.1,16.9,128.0,10,1
109409,14.13,54.9,69.03,1,1
78019,15.1,37.9,53.0,1,1
86464,50.99,99.99,150.98,5,1
104526,33.73,969.0,1002.73,10,1
36574,13.71,39.9,53.61,1,1
76271,12.82,230.98,243.8,1,1
54027,70.36,968.0,1038.36,10,1
81729,14.99,379.08,394.07,7,1
108694,14.31,82.9,47.21,1,3
41661,16.11,49.0,65.11,1,1
12986,18.23,27.9,46.13,1,1
36630,16.79,24.9,83.38,8,1
1637,21.15,94.9,232.1,1,1
17526,15.33,64.9,80.23,1,1
23394,15.1,39.0,54.1,5,1
100183,49.99,138.0,187.99,3,1
75464,16.11,19.63,107.22,2,1
66943,21.88,199.0,220.88,2,1
104340,30.12,250.0,280.12,1,1
67091,13.16,102.9,116.06,6,1
37765,13.69,95.03,108.72,2,1
75736,16.96,109.22,126.18,1,1
90279,16.29,75.0,182.58,1,1
29880,15.36,195.0,210.36,2,1
22221,15.1,38.48,160.74,1,1
2037,18.8,79.9,98.7,1,1
49728,9.34,29.68,78.04,1,1
87004,17.36,229.0,146.36,3,1
44823,19.46,39.0,58.46,5,1
41650,13.83,79.99,247.64,4,1
49246,15.69,84.9,100.59,2,1
68088,8.65,199.9,208.55,1,1
29019,12.26,79.99,92.25,2,1
39610,19.53,79.9,99.43,2,1
71320,11.15,58.99,70.14,1,1
80282,15.84,56.99,25.0,1,1
98915,14.1,23.7,70.8,1,1
65872,16.79,19.9,36.69,1,1
49320,14.52,109.9,124.42,1,1
52312,11.62,41.9,53.52,3,1
86510,15.1,12.49,165.54,3,1
92835,15.23,23.99,78.44,1,1
104739,15.79,23.0,155.16,2,1
77552,12.61,200.0,212.61,1,1
104693,27.48,479.0,506.48,9,1
31329,16.25,69.8,172.1,8,1
27291,9.12,79.99,445.55,1,1
18353,24.05,209.0,233.05,10,1
27093,15.12,52.9,68.02,1,1
94596,30.44,170.0,1202.64,6,1
7215,15.91,99.9,115.81,2,1
105802,19.13,178.0,197.13,2,1
108875,14.18,119.9,134.08,2,1
27295,9.12,79.99,445.55,1,1
86417,50.5,89.99,140.49,1,1
30211,11.85,24.88,36.73,1,1
21501,17.89,139.9,157.79,4,1
88903,19.08,69.9,88.98,1,1
60828,13.08,59.0,77.97,6,1
56245,11.85,49.9,61.75,1,1
60486,15.23,39.9,55.13,1,1
84133,13.44,59.9,73.34,2,1
25885,8.69,49.9,58.59,1,1
12212,25.33,69.9,38.75,1,2
107798,12.48,29.99,42.47,4,1
17501,15.23,29.9,45.13,1,1
35138,12.13,89.9,204.06,3,1
69117,15.32,81.25,193.14,2,1
67095,13.39,104.9,118.29,10,1
45568,17.6,44.99,5.7,1,1
53347,17.42,139.93,157.35,4,1
42218,14.44,286.0,300.44,8,1
101953,32.44,119.99,152.43,1,1
43317,15.01,200.0,215.01,8,1
109517,16.63,62.9,79.53,1,1
1938,23.24,99.9,123.14,1,1
55040,77.6,139.99,57.52,1,7
71174,15.35,84.99,100.34,1,1
29983,7.45,26.9,34.35,1,1
82345,14.1,49.9,64.0,1,1
18981,35.18,260.0,295.18,4,1
21355,14.13,54.9,69.03,1,1
25149,19.95,100.0,119.95,10,1
68581,15.69,599.0,614.69,3,1
2143,22.27,139.0,161.27,2,1
38711,11.85,28.9,122.25,6,1
47649,16.25,69.99,517.44,5,1
36785,12.4,99.9,112.3,3,1
107584,15.13,54.9,70.03,3,1
19482,7.78,36.0,43.78,4,1
91021,18.54,62.9,81.44,8,1
86399,38.53,99.0,137.53,2,1
109274,12.21,229.0,241.21,1,1
45815,13.76,96.4,110.16,1,1
110981,18.23,28.45,93.36,1,1
47034,16.95,99.99,116.94,3,1
24436,39.21,134.9,174.11,1,1
101596,19.85,94.9,114.75,10,1
18881,16.49,104.0,120.49,2,1
6818,19.05,38.5,57.55,1,1
95212,23.32,250.0,273.32,4,1
70436,22.95,89.99,112.94,8,1
109228,20.5,59.9,160.8,2,1
110747,7.39,16.9,24.29,1,1
8844,12.96,89.18,204.28,8,1
78087,19.45,188.9,208.35,5,1
70695,11.85,23.99,35.84,1,1
29762,8.72,23.9,65.24,6,1
62581,10.96,4.9,15.86,1,1
84073,28.75,49.9,78.65,1,1
100849,15.1,34.99,50.09,3,1
89002,17.87,89.0,106.87,2,1
29503,23.79,58.9,82.69,3,1
110806,14.59,59.9,74.49,1,1
61221,27.1,79.9,107.0,8,1
83960,17.6,49.9,67.5,1,1
4469,12.69,45.9,58.59,3,1
98397,12.48,19.9,32.38,2,1
84159,13.46,53.9,269.44,5,1
85690,16.07,53.9,6.34,1,4
57377,13.5,22.32,35.82,1,1
51808,12.43,35.0,47.43,4,1
61408,8.72,44.99,53.71,1,1
55804,15.44,79.9,95.34,1,1
89270,27.42,125.0,152.42,5,1
13547,33.25,114.9,148.15,1,1
109526,24.26,189.9,214.16,1,1
92666,18.23,24.99,43.22,4,1
7108,14.52,39.99,54.51,2,1
31702,36.03,129.0,330.06,1,1
109460,16.81,79.99,96.8,9,1
7277,15.88,110.0,251.76,1,1
89993,19.61,60.0,79.61,1,1
92753,15.79,29.99,45.78,4,1
54855,15.1,39.9,55.0,2,1
90739,17.92,36.9,54.82,5,1
85419,17.66,59.0,306.64,1,1
43092,18.05,271.99,290.04,4,1
84605,13.71,49.9,63.61,6,1
95844,14.52,49.9,64.42,1,1
105256,8.64,34.99,218.15,5,1
103670,18.3,27.9,46.2,2,1
33029,15.27,24.9,40.17,1,1
24672,19.32,35.9,55.22,1,1
65286,14.1,49.0,63.1,3,1
74164,7.93,95.0,102.93,1,1
104007,18.24,59.9,78.14,2,1
19655,16.25,69.9,86.15,2,1
21201,30.33,74.99,105.32,1,1
20796,17.42,139.9,23.94,1,1
45826,17.81,79.9,97.71,3,1
7730,15.25,69.9,85.15,1,1
73249,18.94,119.9,138.84,3,1
9255,19.06,149.99,338.1,6,1
87949,43.63,379.0,422.63,2,1
111931,59.9,95.0,68.86,1,4
103595,19.47,79.99,99.46,9,1
21006,18.24,51.9,70.14,1,1
64825,15.1,38.0,97.2,1,1
84960,13.37,49.9,63.27,1,1
20204,13.62,182.32,195.94,1,1
8092,16.02,39.9,163.88,3,1
34957,11.24,89.9,101.14,1,1
63396,11.85,24.5,36.35,1,1
49448,8.29,56.9,65.19,1,1
63947,15.52,108.0,247.04,1,1
96756,18.28,25.9,44.18,1,1
103116,9.55,34.0,43.55,1,1
20196,7.4,19.99,27.39,1,1
53145,65.07,618.0,683.07,8,1
96732,36.93,89.0,125.93,2,1
103334,16.22,74.0,90.22,2,1
55212,7.64,119.0,253.28,2,1
85539,13.46,53.9,134.72,1,1
93274,7.56,99.99,107.55,1,1
46173,34.94,58.8,165.58,10,1
83088,28.03,150.0,178.03,4,1
31482,13.37,34.9,48.27,2,1
11317,34.95,226.95,261.9,5,1
79279,15.34,65.9,81.24,2,1
40961,25.54,99.99,251.06,1,1
95701,15.79,25.99,83.56,1,1
98170,13.47,29.9,43.37,1,1
17765,7.78,46.99,27.84,1,2
8235,11.83,89.9,101.73,1,1
31960,7.78,18.8,26.58,1,1
29848,11.85,49.28,21.21,1,2
5173,10.22,10.9,135.45,13,1
98189,18.23,29.9,48.13,1,1
19794,8.29,24.9,66.38,1,1
105575,15.88,161.6,177.48,1,1
81364,15.1,49.9,65.0,3,1
93284,21.15,39.9,9.25,1,1
74872,33.41,439.0,472.41,8,1
31141,17.87,134.0,151.87,6,1
5595,12.43,69.9,246.99,5,1
5104,12.69,24.75,37.44,1,1
78492,13.03,53.0,66.03,3,1
81111,15.93,118.7,134.63,1,1
73835,7.64,110.32,607.76,6,1
38722,18.23,19.9,305.04,1,1
86765,22.06,38.89,60.95,1,1
29690,34.38,120.0,154.38,5,1
83199,10.82,129.95,148.94,1,2
23044,19.73,69.9,44.69,1,3
105962,12.04,44.4,56.44,1,1
34050,1.24,89.9,353.4,5,1
24359,15.63,290.0,305.63,4,1
12481,8.72,30.0,38.72,1,1
106934,13.01,49.9,62.91,2,1
64184,7.81,78.0,85.81,2,1
26090,20.1,174.9,195.0,3,1
18621,15.04,135.0,150.04,1,1
78899,36.43,158.7,195.13,1,1
72448,19.55,325.0,344.55,7,1
28068,14.52,31.0,45.52,1,1
36115,12.05,79.05,12.82,1,1
106913,13.92,39.9,211.09,6,1
91542,23.21,89.9,113.11,2,1
67909,15.75,124.9,140.65,1,1
742,38.5,139.99,178.49,2,1
107061,14.1,14.9,0.53,1,1
50925,18.26,144.99,163.25,3,1
50594,17.27,99.99,117.26,4,1
79797,16.35,84.99,101.34,8,1
13563,18.43,46.9,65.33,1,1
73024,9.75,119.9,129.65,1,1
32128,11.73,34.9,46.63,3,1
97679,24.75,79.0,103.75,1,1
14149,14.44,99.0,113.44,4,1
37721,11.92,75.7,87.62,7,1
81281,7.39,72.0,79.39,2,1
89032,13.81,109.0,122.81,2,1
45566,17.6,44.99,5.7,1,1
79176,8.57,59.0,67.57,2,1
37983,11.85,45.95,57.8,2,1
69226,22.76,119.0,141.76,3,1
52071,40.16,166.99,207.15,2,1
51130,19.05,65.99,85.04,1,1
102209,23.98,53.0,76.98,1,1
4911,13.14,24.9,190.12,9,1
17250,11.92,59.9,71.82,1,1
34321,8.29,19.9,56.38,1,1
78722,16.32,39.9,56.22,1,1
16100,18.19,129.0,147.19,3,1
103705,7.87,27.9,35.77,1,2
46631,16.25,69.9,86.15,1,1
93458,15.1,19.9,35.0,1,1
79022,23.08,647.91,670.99,8,1
19260,11.7,86.99,98.69,1,1
79516,58.88,378.38,437.26,15,1
962,40.23,119.99,160.22,7,1
38717,12.83,69.9,82.73,6,1
47263,55.24,1499.99,1555.23,8,1
79101,9.0,35.0,44.0,4,1
20675,12.89,199.0,211.89,10,1
110871,14.08,33.6,152.3,3,1
69054,13.75,187.0,200.75,1,1
103801,22.14,29.9,52.04,1,1
103992,25.14,89.9,115.04,5,1
61659,19.12,145.0,164.12,1,1
32840,221.5,395.0,616.5,1,1
60095,21.16,50.99,72.15,1,1
55291,13.9,59.9,73.8,1,1
60544,21.13,309.0,330.13,3,1
82155,11.85,40.99,317.04,1,1
72266,7.78,47.91,111.38,3,1
55397,25.95,159.0,184.95,4,1
90865,15.23,29.3,44.53,1,1
25844,12.14,58.9,71.04,1,1
111596,8.34,25.0,33.34,1,1
81660,16.48,329.9,346.38,5,1
43629,18.81,75.5,28.32,1,2
21163,13.54,28.9,42.44,1,1
9543,36.49,179.99,216.48,3,1
110775,15.11,39.9,55.01,1,1
22379,11.85,9.0,1.47,1,9
13579,19.49,229.99,249.48,1,1
83451,62.94,399.0,461.94,9,1
88527,15.94,168.99,184.93,1,1
71272,17.66,58.99,76.65,7,1
36590,21.89,199.9,221.79,10,1
25291,21.6,164.33,185.93,10,1
81594,18.0,369.9,387.9,8,1
106646,15.1,9.99,25.09,2,1
35549,14.91,159.9,506.97,8,1
72280,7.78,47.91,55.69,1,1
26384,40.99,549.0,589.99,4,1
87271,70.56,969.99,1040.55,10,1
17247,15.1,49.9,65.0,1,1
22175,20.22,103.9,124.12,7,1
16520,7.87,18.0,51.74,1,1
88522,10.0,168.99,178.99,10,1
44931,9.34,29.9,78.48,6,1
34284,13.46,279.9,293.36,1,1
34661,21.19,99.9,121.09,2,1
10340,103.12,179.9,283.02,1,1
8306,16.11,49.9,132.02,1,1
25918,16.32,47.9,64.22,4,1
71830,15.31,122.99,138.3,1,1
17293,7.78,45.9,107.36,1,1
102986,19.72,75.0,94.72,1,1
50441,27.43,99.99,127.42,1,1
72259,8.36,24.99,71.49,1,1
7431,15.1,19.9,35.0,3,1
40468,16.58,116.9,133.48,5,1
43666,13.02,159.9,53.79,4,1
97664,16.86,299.9,316.76,1,1
10993,34.32,241.1,474.66,3,1
24697,11.85,39.9,51.75,1,1
60927,13.0,79.99,464.95,1,1
14536,19.47,199.0,218.47,1,1
69886,16.79,29.9,46.69,1,1
94800,35.13,189.9,675.09,6,1
30834,17.93,39.95,57.88,2,1
85638,13.44,59.9,73.34,1,1
88071,25.26,383.16,816.84,8,1
77815,33.46,189.0,222.46,4,1
29133,13.82,34.0,47.82,4,1
5422,7.78,67.5,150.56,3,1
53894,27.38,75.0,102.38,1,1
95797,7.39,12.5,19.89,1,1
23785,23.21,89.99,113.2,1,1
89845,12.29,154.9,167.19,5,1
107257,15.1,39.99,55.09,3,1
12143,18.09,74.9,92.99,1,1
50008,17.74,69.9,15.04,1,3
52276,9.34,65.99,75.33,4,1
68701,25.7,59.99,85.69,4,1
87950,13.25,319.0,332.25,8,1
37205,13.72,99.9,227.24,6,1
13951,51.65,434.0,1100.0,5,1
27142,15.11,50.9,66.01,1,1
57460,15.23,35.9,51.13,1,1
17269,7.78,45.9,53.68,1,1
33420,12.25,149.9,162.15,1,1
74987,20.07,118.9,138.97,1,1
16414,7.62,28.89,73.02,1,1
26083,41.95,169.9,211.85,5,1
93930,8.72,18.99,27.71,2,1
56277,12.8,19.9,32.7,1,1
103612,13.17,119.0,132.17,4,1
38462,11.85,12.9,52.5,1,1
26973,16.42,192.9,209.32,2,1
103206,15.56,14.99,61.1,4,1
92946,14.1,29.99,44.09,1,1
88551,8.29,30.49,38.78,1,1
13441,15.15,57.5,72.65,1,1
25959,9.44,47.9,57.34,1,1
100489,12.77,61.9,23.12,1,3
71247,17.73,68.99,86.72,1,1
70584,16.39,89.99,86.3,1,2
26945,14.52,24.9,118.26,10,1
88854,13.57,79.0,92.57,4,1
41407,7.5,29.99,149.96,6,1
4548,16.11,45.9,124.02,2,1
20258,17.24,149.9,167.14,2,1
35456,13.54,74.0,175.08,2,1
9558,18.44,169.9,188.34,5,1
4313,12.71,45.9,175.77,1,1
26526,19.65,65.0,84.65,2,1
54379,23.41,99.0,122.41,12,1
17289,12.76,49.9,62.66,1,1
64454,13.87,49.0,241.51,4,1
14479,23.45,795.95,819.4,1,1
5879,12.43,69.9,82.33,5,1
45735,13.01,49.8,62.81,2,1
78242,63.98,527.9,591.88,8,1
98673,14.1,38.99,53.09,1,1
31758,22.34,149.0,171.34,1,1
31072,8.63,117.33,445.19,1,1
38753,19.58,56.1,75.68,2,1
89248,17.74,69.9,87.64,3,1
96604,58.19,1099.0,1157.19,8,1
11796,18.56,107.9,126.46,2,1
107205,16.79,19.9,36.69,1,1
43589,11.39,108.99,481.52,10,1
36773,17.95,99.9,266.38,10,1
43684,22.2,159.9,182.1,8,1
12269,17.88,89.9,107.78,2,2
83798,41.01,89.0,130.01,1,1
47815,13.54,74.8,88.34,3,1
50427,17.95,99.99,117.94,3,1
109451,15.79,45.6,122.78,2,1
65154,11.89,55.0,66.89,6,1
491,23.2,69.99,186.38,1,1
54802,10.19,139.9,150.09,7,1
66206,11.45,599.99,611.44,8,1
52554,27.99,55.9,167.51,1,1
28335,38.81,387.2,426.01,10,1
25231,12.36,99.49,24.18,1,5
69899,8.18,29.9,111.15,5,1
89974,11.89,39.99,51.88,1,1
1137,19.51,89.98,100.0,1,2
42413,18.78,129.0,147.78,2,1
10898,26.96,117.3,144.26,3,1
38628,11.85,17.9,29.75,1,1
53530,11.85,24.0,35.85,1,1
12038,9.63,88.0,97.63,2,1
42219,18.45,50.0,68.45,6,1
93647,25.0,19.9,102.67,10,1
78964,18.23,7.9,23.23,1,1
52505,16.11,44.9,61.01,6,1
22374,11.85,9.0,1.47,1,10
53359,19.75,79.9,99.65,2,1
1449,24.55,179.9,204.45,3,1
15275,24.84,28.0,105.68,1,1
49043,16.23,85.9,102.13,2,1
75220,29.3,349.9,379.2,3,1
14555,9.95,198.0,207.95,1,1
76839,16.2,349.99,366.19,10,1
108391,15.33,65.0,80.33,1,1
8518,19.53,79.9,99.43,1,1
67522,19.15,149.9,169.05,7,1
110715,19.16,35.0,54.16,1,1
31940,15.11,29.9,270.06,1,1
73785,16.96,265.0,281.96,1,1
108223,13.07,89.9,102.97,10,1
53633,18.42,215.0,233.42,5,1
109219,31.0,99.9,261.8,1,1
19891,13.07,104.9,117.97,1,1
75367,30.95,555.0,585.95,1,1
74871,84.45,449.0,533.45,8,1
76194,13.02,82.95,95.97,1,1
33989,81.93,120.0,201.93,1,1
87720,12.8,42.0,180.99,1,1
102195,23.09,53.0,76.09,3,1
58965,17.0,84.9,101.9,1,1
64447,7.78,29.0,36.78,1,1
75218,20.33,299.0,319.33,1,1
100067,16.01,179.93,195.94,10,1
18954,17.95,99.9,117.85,2,1
75571,7.39,19.9,54.58,1,1
108707,14.32,83.9,98.22,9,1
88798,17.63,47.5,65.13,1,1
2735,20.63,129.0,149.63,3,1
17551,15.82,54.9,141.44,4,1
51508,19.66,59.9,159.12,3,1
80817,9.41,179.0,188.41,2,1
15480,16.22,129.9,146.12,1,1
32118,57.62,299.9,357.52,3,1
35718,12.27,109.9,122.17,10,1
22256,7.39,14.9,22.29,2,1
79427,16.55,206.9,223.45,1,1
104697,24.09,465.0,489.09,9,1
2062,15.19,34.9,163.31,1,1
8309,17.92,49.9,135.64,2,1
14107,24.01,278.9,605.82,6,1
10776,19.25,20.0,128.4,10,1
82402,15.1,45.9,122.0,1,1
102403,27.27,41.0,204.81,5,1
42571,18.22,138.0,312.44,2,1
58417,17.41,235.91,253.32,3,1
64645,14.52,29.0,43.52,2,1
98513,13.47,18.9,32.37,1,1
34591,10.21,69.9,80.11,3,1
9562,19.61,59.9,238.53,8,1
78913,13.71,84.3,98.01,3,1
25898,16.18,59.9,16.08,1,1
74110,13.43,110.32,123.75,1,1
18145,17.59,547.99,50.0,1,5
63771,13.26,85.0,98.26,5,1
14377,17.34,58.0,75.34,1,1
2787,15.1,49.0,64.1,6,1
70065,15.1,29.9,45.0,2,1
67287,13.38,134.9,148.28,6,1
25174,15.69,115.0,130.69,2,1
67460,13.32,93.9,107.22,8,1
26276,15.42,45.0,60.42,1,1
6717,13.26,71.9,726.05,10,1
86469,78.83,259.0,337.83,1,1
53802,17.75,119.9,100.0,1,2
77145,16.09,189.99,206.08,6,1
88298,43.62,199.0,242.62,6,1
53337,17.63,169.97,187.6,3,1
2040,12.7,79.9,92.6,9,1
14766,23.05,159.9,182.95,1,1
89806,18.24,19.99,38.23,1,1
10252,30.98,349.99,380.97,6,1
4338,15.1,29.9,170.0,2,1
59210,12.65,74.9,87.55,2,1
78064,17.09,93.5,110.59,3,1
104489,23.99,169.99,193.98,6,1
42414,44.84,149.0,193.84,5,1
77181,12.72,189.99,202.71,4,1
60264,38.81,137.9,353.42,1,1
95507,14.1,37.99,52.09,1,1
65639,7.78,49.0,50.0,1,2
31445,22.09,208.9,104.9,1,3
18629,19.92,135.0,154.92,2,1
64499,19.29,54.0,73.29,1,1
56386,8.72,39.9,145.86,1,1
52823,7.71,19.99,55.4,2,1
28622,22.73,63.9,173.26,1,1
92916,15.1,29.99,45.09,1,1
110908,16.11,33.0,20.0,1,2
49046,10.08,109.8,119.88,2,1
41086,16.16,56.99,25.0,1,2
62359,8.72,59.0,67.72,1,1
94305,8.4,29.99,38.39,3,1
99488,14.1,13.65,27.75,1,1
99101,16.79,13.65,30.44,1,1
65001,7.58,45.0,52.58,1,1
79168,18.19,55.0,73.19,1,1
70026,22.14,29.9,2.31,1,1
83993,13.37,49.9,126.54,2,1
89243,15.24,69.9,85.14,3,1
93612,7.39,19.9,27.29,2,1
39750,14.52,26.0,81.04,5,1
56086,15.18,61.9,42.61,4,1
13915,20.03,319.0,339.03,6,1
62258,9.34,28.0,37.34,1,1
47868,17.77,74.8,92.57,3,1
30864,13.47,40.0,53.47,2,1
59691,0.06,22.0,67.69,2,1
24233,16.11,50.0,66.11,3,1
95378,19.59,245.0,264.59,1,1
10644,237.11,460.0,2091.33,10,1
61695,91.28,539.0,630.28,1,1
67142,18.6,102.9,121.5,2,1
74927,57.25,99.9,157.15,1,1
86334,27.04,110.0,137.04,6,1
82499,38.55,143.0,181.55,7,1
41925,15.58,117.99,133.57,3,1
71297,20.81,58.99,159.6,8,1
25026,85.34,399.9,485.24,3,1
43615,23.58,148.9,172.48,8,1
31920,15.35,35.0,50.35,1,1
96289,14.58,59.0,73.58,1,1
36149,19.67,100.0,239.34,1,1
16234,14.23,69.0,44.63,1,3
19243,18.96,59.99,11.33,1,1
5374,7.55,18.9,26.45,1,1
26504,7.39,39.9,110.18,2,1
87188,22.06,39.8,61.86,1,1
39145,16.18,59.99,76.17,2,1
16910,18.7,65.9,84.6,1,1
45549,25.63,21.99,47.62,2,1
99042,14.1,13.65,27.75,1,1
95923,14.1,21.99,36.09,1,1
38246,16.05,13.9,29.95,1,1
95138,10.96,17.99,28.95,1,1
72183,19.04,47.65,66.69,3,1
11648,15.43,53.88,168.09,10,1
13195,58.54,107.0,165.54,1,1
107397,8.88,42.9,43.29,1,2
72263,11.87,52.3,64.17,1,1
45892,13.79,109.9,123.69,1,1
30800,26.84,76.5,206.68,1,1
51744,9.91,148.0,157.91,2,1
83915,17.67,59.9,77.57,1,1
4813,36.35,194.9,231.25,1,1
51635,16.12,195.9,75.93,1,2
80407,8.35,29.79,71.49,1,1
38140,13.93,49.9,63.83,1,1
20612,14.52,29.99,222.55,1,1
60386,18.88,233.0,251.88,1,1
69009,17.53,155.8,173.33,1,1
57073,15.27,74.9,90.17,5,1
16987,8.72,75.0,83.72,3,1
47154,16.16,199.99,216.15,1,1
49732,11.18,79.99,91.17,1,1
92186,12.86,27.99,40.85,1,1
36252,17.03,199.9,216.93,8,1
19364,27.0,65.9,92.9,1,1
54533,18.19,54.99,73.18,1,1
100614,20.16,95.0,115.16,1,1
30602,10.96,24.9,35.86,3,1
52782,27.24,99.99,127.23,2,1
1419,98.35,369.9,468.25,1,1
105199,16.98,76.89,93.87,2,1
69365,20.02,273.9,293.92,3,1
37300,13.82,114.9,128.72,10,1
86515,22.06,13.99,108.15,2,1
55423,18.98,149.9,168.88,1,1
101888,13.09,92.5,105.59,1,1
84746,8.05,49.0,50.0,1,2
74629,19.4,78.5,148.77,8,1
52070,13.27,169.99,416.44,8,1
89355,15.13,149.0,164.13,3,1
56347,15.1,19.9,35.0,1,1
42003,16.99,139.99,302.98,5,1
62715,35.55,249.9,285.45,3,1
32565,16.11,41.99,58.1,1,1
15127,8.04,43.0,51.04,1,1
81739,27.6,150.98,178.58,1,1
14300,38.28,189.0,227.28,8,1
106685,18.23,34.3,52.53,1,1
60350,16.76,222.0,238.76,1,1
13614,13.63,169.9,183.53,2,1
95053,18.23,12.87,31.1,3,1
9430,15.11,15.45,61.12,1,1
22565,9.03,59.9,127.86,10,1
99032,14.1,13.65,27.75,1,1
70501,15.39,89.99,105.38,10,1
44583,23.28,21.9,90.36,1,1
38994,16.25,70.0,86.25,3,1
78050,42.38,12.9,55.28,1,1
45870,14.82,72.99,87.81,8,1
93784,15.1,18.99,34.09,3,1
95990,16.05,31.9,47.95,4,1
98947,18.47,21.9,8.49,1,1
90281,16.29,75.0,91.29,1,1
39089,18.23,29.99,48.22,1,1
81184,15.92,116.9,132.82,3,1
56338,11.85,28.0,39.85,1,1
88724,22.72,377.0,399.72,5,1
100762,8.11,69.99,78.1,1,1
69221,16.28,219.0,235.28,10,1
8256,34.41,279.9,314.31,1,1
76904,15.1,19.9,35.0,1,1
6062,0.0,69.9,139.8,2,1
74053,7.64,110.32,117.96,2,1
43652,13.02,159.9,63.97,1,2
46568,14.1,49.9,64.0,1,1
16227,25.87,85.0,110.87,2,1
49122,15.1,8.99,24.09,1,1
100973,15.1,32.64,47.74,1,1
201,9.9,114.6,622.51,10,1
67290,12.68,169.0,181.68,8,1
76787,17.02,467.0,484.02,5,1
466,56.31,146.99,203.3,10,1
97784,8.29,26.9,35.19,1,1
83102,83.97,150.0,120.27,4,1
67920,18.87,142.0,160.87,3,1
111077,43.35,2110.0,2153.35,10,1
1635,12.57,94.9,107.47,1,1
58457,15.18,61.9,154.16,1,1
93979,15.1,18.9,34.0,1,1
65493,7.39,55.0,62.39,1,1
94234,22.09,54.99,77.08,7,1
25396,16.11,44.78,60.89,1,1
77455,16.82,81.9,98.72,1,1
110742,13.51,69.9,83.41,3,1
35390,18.2,153.0,100.0,1,2
17876,21.31,259.99,281.3,3,1
109530,20.3,189.9,210.2,1,1
3182,17.97,35.0,105.94,1,1
7329,12.51,29.99,42.5,1,1
36930,10.91,44.9,141.97,2,1
64759,7.78,29.0,36.78,1,1
80295,14.15,56.99,35.4,1,2
13343,18.23,16.9,35.13,1,1
33544,19.35,161.42,304.33,8,1
60959,47.28,219.9,1603.08,6,1
51698,15.94,169.9,185.84,2,1
80706,9.51,199.9,209.41,2,1
62725,28.72,285.0,313.72,3,1
91890,29.16,109.0,138.16,1,1
12345,15.31,80.0,95.31,1,1
77410,22.19,69.0,91.19,9,1
13125,7.87,27.9,35.77,1,1
106931,7.78,39.9,47.68,2,1
72966,19.71,494.99,514.7,8,1
67357,14.56,219.9,234.46,1,1
27210,8.9,29.9,38.8,1,1
47334,17.35,129.99,147.34,1,1
80540,7.78,13.99,21.77,1,1
37835,12.93,38.79,51.72,5,1
4272,16.18,60.0,152.36,3,1
50531,17.54,99.99,117.53,1,1
9281,15.1,16.9,128.0,10,1
17403,7.78,25.9,67.36,1,1
89634,13.57,79.0,100.14,6,1
35077,17.88,89.9,107.78,6,1
101368,9.12,109.99,238.22,1,1
64083,15.52,108.0,123.52,10,1
24542,20.13,134.9,155.03,10,1
111007,18.3,35.0,53.3,1,1
21502,21.38,127.0,148.38,10,1
1586,58.2,85.0,143.2,1,1
37601,13.7,96.9,110.6,3,1
32523,24.62,79.0,741.33,8,1
13198,46.94,59.0,105.94,2,1
78201,21.59,529.9,551.49,1,1
7714,9.34,69.9,79.24,1,1
15284,9.27,29.49,77.52,6,1
11778,18.85,109.9,128.75,1,1
91182,7.87,29.6,37.47,3,1
24095,17.6,50.0,67.6,1,1
89722,18.0,61.9,79.9,3,1
79684,15.13,53.99,69.12,1,1
104004,17.86,149.9,167.76,1,1
97692,2.79,25.5,604.84,1,1
5059,9.31,49.7,539.12,1,1
83823,33.08,99.0,132.08,2,1
64404,16.79,29.0,45.79,1,1
66651,18.86,140.0,158.86,3,1
10330,43.75,199.9,436.4,3,1
100419,19.54,50.0,69.54,1,1
40746,17.78,124.9,142.68,1,1
105781,19.43,190.0,209.43,1,1
68548,16.29,169.9,186.19,4,1
8775,14.15,59.9,444.3,3,1
72271,12.82,53.99,66.81,1,1
32603,29.08,78.71,107.79,1,1
88366,18.89,46.9,65.79,1,1
57475,25.63,31.9,57.53,3,1
50208,23.27,105.0,128.27,1,1
86789,38.25,99.9,138.15,3,1
33868,11.15,59.9,71.05,1,1
87553,13.37,45.99,59.36,1,1
9731,15.17,59.9,225.21,1,1
50116,18.54,94.9,113.44,10,1
98585,15.83,154.99,512.46,4,1
96396,14.63,899.0,913.63,10,1
100542,15.1,39.9,55.0,5,1
67355,20.67,204.0,224.67,8,1
17339,7.39,22.9,60.58,1,1
72028,63.09,119.99,183.08,3,1
53754,41.51,265.0,306.51,1,1
96877,16.79,39.5,112.58,1,1
